         397983 function calls (392503 primitive calls) in 1.024 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    24078    0.035    0.000    0.054    0.000 /usr/local/lib/python2.7/dist-packages/packaging/version.py:65(_compare)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/xml/etree/ElementPath.py:112(prepare_self)
       26    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       10    0.000    0.000    0.000    0.000 /usr/lib/python2.7/zipfile.py:639(_update_crc)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/io.py:76(BufferedIOBase)
       29    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/decoder.py:461(StringDecoder)
        1    0.002    0.002    0.956    0.956 ./pyproject/gas/gas_room_mgr/gas_room_mgr.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/xlrd/biffh.py:27(XLRDError)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_parse.py:224(isdigit)
        3    0.000    0.000    0.000    0.000 {built-in method iter}
     2140    0.007    0.000    0.019    0.000 /usr/lib/python2.7/posixpath.py:97(splitext)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/email/parser.py:86(HeaderParser)
       62    0.000    0.000    0.000    0.000 {method 'split' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 ./pyproject/excel2json.py:19(UniPrinter)
      247    0.000    0.000    0.000    0.000 {max}
        1    0.004    0.004    0.005    0.005 build/bdist.linux-x86_64/egg/google/protobuf/internal/encoder.py:65(<module>)
       12    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/python_message.py:685(_AddPropertiesForNonRepeatedCompositeField)
       19    0.000    0.000    0.000    0.000 {method 'find_module' of 'zipimport.zipimporter' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/six.py:86(_LazyDescr)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/six.py:555(Iterator)
       39    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/python_message.py:1025(_AddSerializeToStringMethod)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:3158(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urllib.py:984(addclosehook)
        1    0.000    0.000    0.000    0.000 <string>:1(manifest_mod)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/threading.py:125(_RLock)
      148    0.002    0.000    0.068    0.000 /usr/local/lib/python2.7/dist-packages/pkg_resources/__init__.py:2759(_reload_version)
       77    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/decoder.py:199(SpecificDecoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/plistlib.py:291(_InternalDict)
        1    0.000    0.000    0.001    0.001 /usr/lib/python2.7/zipfile.py:420(_ZipDecrypter)
       55    0.000    0.000    0.000    0.000 {built-in method clear}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/six.py:469(Module_six_moves_urllib)
       44    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/descriptor.py:305(<genexpr>)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python2.7/dist-packages/pyparsing.py:2390(parseImpl)
        1    0.000    0.000    0.000    0.000 build/bdist.linux-x86_64/egg/google/protobuf/internal/python_message.py:1388(_ExtensionDict)
